X,Y,OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
-8844280.2723625,5415302.42084678,53,GO-2004697185,2004/11/12 05:00:00+00,2004,November,12,Friday,317,D13,Other,92,Corso Italia-Davenport,92,Corso Italia-Davenport (92),-79.4495214572904,43.675115364057
-8841964.3157749,5414407.13567438,54,GO-2004734705,2004/12/01 05:00:00+00,2004,December,1,Wednesday,336,D14,Stabbing,172,Dovercourt Village,93,Dovercourt-Wallace Emerson-Junction (93),-79.4287168649742,43.6692982177367
-8841964.3157749,5414407.13567438,55,GO-2004734705,2004/12/01 05:00:00+00,2004,December,1,Wednesday,336,D14,Stabbing,172,Dovercourt Village,93,Dovercourt-Wallace Emerson-Junction (93),-79.4287168649742,43.6692982177367
-8813084.73712515,5431768.98228901,56,GO-2004735933,2004/12/02 05:00:00+00,2004,December,2,Thursday,337,D42,Other,133,Centennial Scarborough,133,Centennial Scarborough (133),-79.1692871957742,43.7820068475349
-8830839.21262161,5418507.44798473,57,GO-2004734029,2004/12/03 05:00:00+00,2004,December,3,Friday,338,D54,Stabbing,58,Old East York,58,Old East York (58),-79.3287783629918,43.695935515389
-8837094.19881558,5427165.64633098,58,GO-2004735980,2004/12/11 05:00:00+00,2004,December,11,Saturday,346,D33,Stabbing,40,St.Andrew-Windfields,40,St.Andrew-Windfields (40),-79.3849678602853,43.7521438381205
-8838869.92547659,5412564.2334594,59,GO-2004730198,2004/12/11 05:00:00+00,2004,December,11,Saturday,346,D14,Stabbing,79,University,79,University (79),-79.4009194837165,43.6573221230826
-8828636.08034168,5420468.90259034,60,GO-2004775505,2004/12/12 05:00:00+00,2004,December,12,Sunday,347,D54,Stabbing,54,O'Connor-Parkview,54,O'Connor-Parkview (54),-79.3089872888018,43.7086737396447
-8836415.3655476,5413078.56308416,61,GO-2004736004,2004/12/19 05:00:00+00,2004,December,19,Sunday,354,D51,Shooting,168,Downtown Yonge East,75,Church-Yonge Corridor (75),-79.3788697973388,43.6606647330135
-8822794.70438742,5423867.7952609,62,GO-2004811677,2004/12/19 05:00:00+00,2004,December,19,Sunday,354,D41,Shooting,124,Kennedy Park,124,Kennedy Park (124),-79.2565133162365,43.7307406741197
-8830727.79272064,5421075.79996797,63,GO-2004730003,2004/12/20 05:00:00+00,2004,December,20,Monday,355,D54,Shooting,44,Flemingdon Park,44,Flemingdon Park (44),-79.3277774608744,43.7126145503458
-8820501.57375009,5424581.70992348,64,GO-2004860547,2004/12/31 05:00:00+00,2004,December,31,Friday,366,D42,Stabbing,123,Cliffcrest,123,Cliffcrest (123),-79.235913772545,43.7353746534641
-8823766.23188498,5438766.61126859,65,GO-2005879569,2005/01/14 05:00:00+00,2005,January,14,Friday,14,D42,Stabbing,130,Milliken,130,Milliken (130),-79.2652406958309,43.8273736867753
-8841490.04520694,5413803.15231766,66,GO-2005910043,2005/01/18 05:00:00+00,2005,January,18,Tuesday,18,D14,Stabbing,172,Dovercourt Village,93,Dovercourt-Wallace Emerson-Junction (93),-79.4244564196753,43.6653734965695
-8839571.00716932,5410210.92127878,67,GO-2005920738,2005/01/21 05:00:00+00,2005,January,21,Friday,21,D14,Shooting,162,West Queen West,82,Niagara (82),-79.4072174076345,43.6420256567852
-8839571.00716932,5410210.92127878,68,GO-2005920738,2005/01/21 05:00:00+00,2005,January,21,Friday,21,D14,Shooting,162,West Queen West,82,Niagara (82),-79.4072174076345,43.6420256567852
-8831214.077222,5435655.17802894,69,GO-20051003568,2005/01/24 05:00:00+00,2005,January,24,Monday,24,D42,Other,116,Steeles,116,Steeles (116),-79.3321458292125,43.8072059814752
-8852284.37407056,5430411.4630786,70,GO-2005812174,2005/01/26 05:00:00+00,2005,January,26,Wednesday,26,D31,Other,24,Black Creek,24,Black Creek (24),-79.5214235262934,43.7732018258792
-8825660.15546624,5429827.73676954,71,GO-2005951634,2005/02/11 05:00:00+00,2005,February,11,Friday,42,D33,Shooting,126,Dorset Park,126,Dorset Park (126),-79.2822541006483,43.7694153127368
-8844978.16686689,5414565.96498269,72,GO-2005733656,2005/02/11 05:00:00+00,2005,February,11,Friday,42,D12,Other,91,Weston-Pelham Park,91,Weston-Pellam Park (91),-79.4557907501482,43.6703302584375
-8859741.01364735,5427598.68667178,73,GO-2005736672,2005/02/12 05:00:00+00,2005,February,12,Saturday,43,D23,Shooting,2,Mount Olive-Silverstone-Jamestown,2,Mount Olive-Silverstone-Jamestown (2),-79.5884076588862,43.7549537155976
-8825660.15546624,5429827.73676954,74,GO-2005768554,2005/02/15 05:00:00+00,2005,February,15,Tuesday,46,D41,Shooting,126,Dorset Park,126,Dorset Park (126),-79.2822541006483,43.7694153127368
-8835848.13552379,5414097.95161121,75,GO-2005918414,2005/02/15 05:00:00+00,2005,February,15,Tuesday,46,D51,Shooting,74,North St.James Town,74,North St.James Town (74),-79.3737742834019,43.6672891526494
-8848994.42359076,5405789.83313758,76,GO-2005929672,2005/02/18 05:00:00+00,2005,February,18,Friday,49,D22,Other,160,Mimico-Queensway,17,Mimico (includes Humber Bay Shores) (17),-79.4918693979355,43.6132781693122
-8843893.86482148,5432371.06839212,77,GO-2005969241,2005/02/28 05:00:00+00,2005,February,28,Monday,59,D32,Shooting,36,Newtonbrook West,36,Newtonbrook West (36),-79.4460502991488,43.785911631157
-8833903.10995105,5425444.7044321,78,GO-2005953786,2005/03/05 05:00:00+00,2005,March,5,Saturday,64,D33,Shooting,42,Banbury-Don Mills,42,Banbury-Don Mills (42),-79.3563018213311,43.7409758218529
